Product Name,Original_Price,Selling_Price,Discount,Reviews,Ratings
Oziva Vegan Collagen with Biotin & Vitamin C For Brighter & ...,959.0,869,9.0,416.0,4
"Beautywise Skin Resilience Combination Of Ceramides, Hyaluro...",2699.0,2213,18.0,582.0,5
Nat Habit Pure Coconut Oil,235.0,200,15.0,684.0,5
Nutrova Complete Omega 3 Capsules,1070.0,1014,5.0,17.0,5
YourHappyLife Collagen Naked Powder - Unflavoured,1999.0,1499,25.0,60.0,5
Miduty Liposomal NMN 85% Cellular Energy Anti Aging NAD+ Boo...,1200.0,1587,25.0,41.0,5
Be Bodywise Glutathione Gummies,699.0,599,14.0,67.0,4
Miduty Magnesium Relax Chelated Migraine High BP Constipatio...,1200.0,839,25.0,93.0,5
Optimum Nutrition (ON) Serious Mass High Protein Weight Gain...,1359.0,1199,12.0,350.0,4
Plix ACV CQR Plus Effervescent Tablets for Fat Reduction & W...,750.0,600,20.0,55.0,5
Miduty Thick And Grow Biotin Capsule,1200.0,886,25.0,65.0,5
"Carbamide Forte Triple Strength Omega 3 Fish Oil 1400mg, Sup...",935.0,595,36.0,146.0,5
Be Bodywise Multivitamin Gummies 60 Days Pack - Boosts Immun...,799.0,675,16.0,223.0,4
Glutone1000 - Setria L-Glutathione & Vit C Tablets For Skin ...,4894.0,3817,22.0,880.0,4
Keya Seth Aromatherapy Skin Defence Orange Body Oil,1200.0,320,25.0,2508.0,4
Plix Glutathione Skin Tablets With L-Glutathione & Vitamin C...,2600.0,1898,27.0,30.0,4
Brillare 100% Pure Cold-Pressed Castor Oil for Hair & Skin S...,495.0,446,10.0,717.0,5
The Wellness Shop Plump 'N' Lift Oil for Breast Enlargement ...,599.0,557,7.0,64.0,4
Nutriorg Seabucktorn Juice,1200.0,555,25.0,100.0,4
"Mountainor Himalayan Seabuckthorn Juice, 100% Pure liquid, H...",799.0,649,19.0,80.0,5
Oziva Hair Vitamins (With Dht Blocker & Omega 3) For Better ...,2577.0,2023,22.0,2270.0,4
Oziva Plant Based Collagen Builder - Watermelon,959.0,869,9.0,321.0,4
Isopure Collagen Peptides Unflavored,2155.0,1829,15.0,27.0,5
Plix ACV Apple Cider Vinegar L-carnitine Effervescent Tablet...,800.0,576,28.0,123.0,4
Optimum Nutrition (ON) Micronized Creatine Powder - Unflavor...,699.0,489,30.0,772.0,4
Max Care Virgin Coconut Oil Cold Pressed Wide Mouth,580.0,539,7.0,1327.0,5
Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powde...,2389.0,2349,2.0,174.0,4
Miduty Triple Thyroid Care Hypothyroidisim Zinc KSM 66 Ashwa...,1200.0,1400,25.0,48.0,5
MuscleBlaze Raw Whey Protein Concentrate - Unflavoured,1899.0,1499,21.0,415.0,4
HealthKart HK Vitals Veg Collagen Supplement - Orange,1369.0,1289,6.0,75.0,5
Nua Cramp Comfort Heat Patches for Period Pain - Pack of 3,339.0,322,5.0,940.0,4
MsChief Crescendo Dual Sensual Vibrator-Personal Massager,3799.0,2963,22.0,49.0,4
"OZiva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",3432.0,2144,38.0,1148.0,4
Kerala Ayurveda Nalpamaradi Keram Face & Body Oil to Detan W...,1200.0,180,25.0,345.0,4
Beautywise Hair Rescue Biotin & Keratin Hair Aminos Vitamins...,2699.0,2213,18.0,705.0,5
Carbamide Forte Japanese Reduced L Glutathione 500mg with Vi...,1265.0,816,35.0,172.0,4
"Wellbeing Nutrition Slow 4x Strength Omega 3 Fish Oil, 1850m...",1399.0,1189,15.0,13.0,5
Kapiva Apple Cider Vinegar (ACV) with Mother Vinegar Suitabl...,1200.0,299,25.0,753.0,4
Plix ACV Apple Cider Vinegar L-carnitine Effervescent Tablet...,1600.0,1152,28.0,170.0,4
"Wellbeing Nutrition Slow PCOS Balance, Myoinositol & Shatava...",1399.0,1189,15.0,17.0,4
Nutrova Kerastrength Capsules,1200.0,1070,25.0,45.0,4
Kapiva Wild Amla Juice (Cold Pressed)Suitable for Healthy Ha...,1200.0,280,25.0,1090.0,4
Zoku Premium Camouflage Insulated Stainless Steel Water Bott...,4099.0,3771,8.0,9.0,4
Krishna's Herbal & Ayurveda Shapefix Juice,1200.0,478,25.0,58.0,4
Glutone C Setria Glutathione & Phyllanthus Emblica L. Extrac...,1753.0,1578,10.0,162.0,4
Miduty Liposomal Vitamin C Immunity Booster Antioxidant Skin...,1200.0,1400,25.0,30.0,5
"OZiva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",3316.0,1931,42.0,3592.0,4
"Carbamide Forte Multi Collagen Tablets, Hydrolyzed Peptides ...",899.0,674,25.0,265.0,4
PLIX Tender Coconut Water Premix Powder for an Instant Energ...,375.0,255,32.0,326.0,4
NAKPRO Impact Whey Protein Powder - Double Rich Chocolate,2600.0,1300,50.0,49.0,4
"Carbamide Forte Multivitamin Tablets for Women, With Probiot...",799.0,599,25.0,287.0,4
Sanfe Flix Breast Roll Shaper & Lifter,399.0,379,5.0,924.0,4
Miduty Berberine 98% with Vit B12 Diabetes Weight Loss Sugar...,1200.0,1859,25.0,34.0,4
"PLIX Deep Sleep with Melatonin, Oral Dissolving 30 Mini Mint...",399.0,299,25.0,236.0,4
HealthKart Hk Vitals Collagen Tablets,509.0,499,2.0,26.0,4
Plix The Plant Fix ACV CQR Plus Effervescent Tablets For Fat...,3000.0,2310,23.0,6.0,5
SheNeed Morning Weight Loss Pills,409.0,290,29.0,386.0,4
Krishna's Herbal & Ayurveda Swarna Prashan Drops,1200.0,1875,25.0,12.0,4
Glutone1000 - Setria L-Glutathione & Vit C Tablets For Skin ...,9788.0,7243,26.0,881.0,4
Sol de Janeiro Bum Bum Firmeza Firming & Debloating Body Oil,1200.0,5585,25.0,26.0,5
Brillare 100% Organic Pure Cold-Pressed Coconut Oil for Mois...,395.0,375,5.0,277.0,5
Nutrova Marine Collagen Peptides Powder - Unflavoured,2140.0,2029,5.0,8.0,5
Miduty Palak Notes Vitamin A.D.K Multivitamin Capsules,1200.0,1493,25.0,58.0,5
Milagro Beauty Belly Oil,1490.0,1043,30.0,47.0,5
Oziva Phyto Ceramides+ Collagen Builder Blueberry Tablets - ...,2598.0,1599,38.0,19.0,4
Oziva Plant Based Vitamin D3+K2+B12,879.0,749,15.0,31.0,4
Nat Habit 100% Pure Moroccan Argan Cold Pressed Oil Hair Ser...,612.0,508,17.0,241.0,5
Plix - The Plant Fix Plix Super Strength Fermented Yeast Pro...,2700.0,1809,33.0,7.0,5
Sebamed Baby Bath Routine Combo,1200.0,2722,25.0,5914.0,4
Nutrova Magnesium + D3 Tablets,760.0,719,5.0,17.0,5
Purna Gummies Hair Biotin Cranberry Sugar Free Gummies With ...,1200.0,599,25.0,10984.0,4
Biotique Carrot Seed Anti-Aging After-Bath Body Oil,230.0,207,10.0,3693.0,4
Baidyanath Rogan Badam Shireen Almond Oil,125.0,113,10.0,1627.0,4
Matra Double-Sided Fashion Tape Invisible Dressing Tape Stri...,49.0,44,10.0,295.0,4
"Silicone Breast Insert Pads, Push Up Bra Pads For Cleavage &...",199.0,189,5.0,77.0,3
Beautywise Advanced Marine Collagen Anti-Aging Powder- Gluta...,2299.0,1839,20.0,195.0,5
"Nat Habit 100% Pure Cold Pressed White Sesame Til Seed Oil, ...",317.0,269,15.0,423.0,4
Wellbeing Nutrition Slow Ultra Strength Magnesium+ Capsules,1799.0,1529,15.0,10.0,5
Nat Habit Pure Almond Baby Oil,1248.0,998,20.0,265.0,4
Plix Apple Cider Vinegar Effervescent Tablets with Vitamin B...,1400.0,504,64.0,77.0,4
"Joy Body Oil for Glowing Skin, Nourishing, Non-Greasy, Quick...",275.0,220,20.0,415.0,4
"OZiva Organic Plant Protein, 30g Pea Protein Isolate + Brown...",1329.0,1299,2.0,65.0,5
The Good Bug Daily Prebiotic Gut Cleanse Detox Shots with Gr...,769.0,749,3.0,88.0,4
Beautywise Hair Rescue Biotin & Keratin Hair Aminos Vitamins...,1599.0,1327,17.0,705.0,5
HealthKart Hk Vitals Multivitamin + Fish Oil,669.0,399,40.0,34.0,4
Sirona Fda Approved Super Soft Disposable Maternity Breast P...,449.0,426,5.0,500.0,4
Plix Collagen Builder Bubbly Effervescent Tablets Vitamin C ...,350.0,298,15.0,206.0,4
"OZiva Bioactive Gluta Fizzy (L-Glutathione), Reduce Cellular...",6894.0,4376,37.0,438.0,4
YourHappyLife Omega-3 Capsules,1499.0,1049,30.0,34.0,5
NAKPRO Impact Whey Protein Powder - Malai Kulfi,2600.0,1300,50.0,27.0,4
"Beautywise Skin Resilience Combination Of Ceramides, Hyaluro...",1599.0,1327,17.0,582.0,5
The Good Bug Advanced Metabolic System Probiotics + fiber - ...,1298.0,1199,8.0,360.0,4
Plix Face Ice Roller,1200.0,1000,25.0,4.0,5
"YourHappyLife Hair With Keranat™, Biotin, DHT Blockers - Dua...",1299.0,1000,23.0,79.0,5
"Bio Oil Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven ...",2900.0,2378,18.0,6661.0,5
"HealthKart Hk Vitals Iron And Folic Acid Supplement, Support...",419.0,379,10.0,444.0,4
"Oziva Plant Based Her Balance for PCOS, Better Menstrual Cyc...",1499.0,1136,24.0,2245.0,4
Gunam Blue Spirulina with Antioxidants + Protein + Amino Aci...,1900.0,1710,10.0,1.0,5
MyFitFuel Skin Beauty Glutathione Capsules,1849.0,1054,43.0,3218.0,5
WOW Life Science Omega-3 1300Mg 60Capsules - EPA + DHA Enric...,1099.0,1044,5.0,743.0,4
"Wellbeing Nutrition Melts Vitamin B12, Folate, Orange Mint F...",599.0,509,15.0,127.0,4
TruNativ Advanced Japanese Marine Type 1 & 3 Collagen Powder...,1799.0,1511,16.0,14.0,4
"Wellbeing Nutrition Melts Healthy Hair, Biotin, Stronger, Sh...",1200.0,599,25.0,544.0,4
"Deve Herbes Vitamin E Oil for Face Brightening, Anit-Aging, ...",399.0,391,2.0,5781.0,4
Biotique Avocado Stress Relief Body Massage Oil,250.0,200,20.0,2842.0,4
"HealthKart Hk Vitals Omega 3, Fish Oil Supplement, For Joint...",499.0,429,14.0,533.0,4
"Wellbeing Nutrition Slow Burn with Garcinia & L-Carnitine, M...",1399.0,1189,15.0,27.0,4
"Oziva Plant Based Omega 369 Capsules For Skin, Heart, & Join...",699.0,449,36.0,253.0,4
Miduty Nerve Pain Relief Alpha Lipoic Acid B Vitamins Neurop...,1200.0,1822,25.0,13.0,5
Oziva Daily Women's Multivitamin Tablets For Energy,949.0,749,21.0,328.0,4
Plix Glowy Skin Bubbly 600MG Glutathione Effervescent Tablet...,660.0,528,20.0,9.0,4
Baidyanath Rogan Badam Shirin Almond Oil,220.0,198,10.0,648.0,4
Sirona Oxo-Degradable Sanitary Disposal Bags,249.0,211,15.0,651.0,5
HealthyHey Nutrition High Absorption Magnesium Glycinate - V...,1329.0,721,46.0,68.0,5
Khadi Natural Jasmine Massage Oil with a Floral Touch of Cal...,249.0,184,26.0,683.0,4
Palmer's Cocoa Butter Bust Cream Helps Reduce Appearance Of ...,700.0,595,15.0,298.0,4
HealthKart HK Vitals Skin Radiance Collagen Supplement with ...,1200.0,519,25.0,179.0,4
Plix Glowy Skin Bubbly 600MG Glutathione Effervescent Tablet...,1320.0,1082,18.0,9.0,4
"Wellbeing Nutrition Whey Protein Isolate, 31g Protein, 4B CF...",4999.0,4849,3.0,4.0,5
Indus Valley Sweet Almond Oil Cold Pressed For Hair Growth &...,1200.0,299,25.0,2690.0,4
HealthKart HK Vitals Glutathione With Vitamin C Effervescent...,1518.0,1299,14.0,8.0,4
HealthKart HK Vitals Glutathione Effervescent Tablets - Oran...,3795.0,2699,29.0,11.0,4
Sanfe Flix Fashion Tape,229.0,218,5.0,1216.0,4
Carbamide Forte Natural Vitamin C with Amla Extract & Zinc F...,395.0,295,25.0,162.0,4
Oziva Advanced Hair Growth Actives Capsules And Oziva Advanc...,3398.0,2606,23.0,1410.0,5
Baidyanath Maha Bhringraj Hair Oil,186.0,158,15.0,1552.0,4
MuscleBlaze Creatine Monohydrate Powder,2099.0,1499,29.0,842.0,4
Oziva Plant Based Biotin Xtra Capsules (with Keratin Builder...,699.0,549,21.0,447.0,4
Miduty PCOS Support Myo Inositol D Chiro Inositol PCOD Perio...,1200.0,1493,25.0,20.0,5
Glutone-Hydra Setria Glutathione & Ceramosides Tablets,1156.0,982,15.0,35.0,4
Miduty Palak Notes Fit N Lean Protein Shake,1200.0,3502,25.0,28.0,5
Sirona Pregrx Midstream One Step Urine Hcg Pregnancy Test Ki...,259.0,202,22.0,305.0,4
Miduty Multivitamin One Per Day Multimineral Supplement Omeg...,1200.0,746,25.0,71.0,5
"Wellbeing Nutrition Whey Protein Isolate, 26g Protein, 4B CF...",4999.0,4849,3.0,10.0,4
"Bio Oil Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven ...",1950.0,1600,18.0,51458.0,4
INJA Beauty Collagen for Skin- Hair & Nails- with Vit C- Glu...,1250.0,1100,12.0,224.0,4
Wellbeing Nutrition Skin Fuel Effervescent Blueberry & Mint ...,3596.0,2158,40.0,416.0,4
"OZiva Organic Plant Protein, 30g Pea Protein Isolate + Brown...",2499.0,2299,8.0,37.0,5
Kama Ayurveda Ashwaras Reviving Body Massage Oil for Nourish...,1200.0,3395,25.0,9.0,4
HealthKart Hk Vitals Vitamin D3 (2000 Iu) Capsules,849.0,579,32.0,367.0,4
"Mountainor Glutathione Glowing, Pigmentation Tablets with Vi...",1998.0,999,50.0,400.0,5
Sanfe Flix Cotton Nipple Covers Pack Of 10,229.0,218,5.0,652.0,4
MYPRO SPORT NUTRITION High Protein Women Weight Gainer Choco...,1199.0,599,50.0,570.0,4
